Method,Silhouette,Calinski-Harabasz,Davies-Bouldin,ARI,NMI,Purity, Task
Agglomerative,0.75273794,2250.7646,0.6064007456662135,0.004251850926614949,0.03313753516657469,0.0945472736368184,Hard
Autoencoder + K-Means,-0.036987405,7.03928,12.64099154258658,0.08139728971331062,0.2165154815320999,0.20710355177588793,Hard
Basic VAE,-0.07911636,8.737865,12.079912714214885,0.0997034815969993,0.2421353877990621,0.23311655827913957,Easy
Cond VAE,-0.046252824,3.4255428,17.107675418883588,0.07494648177522734,0.174235713515681,0.176088044022011,Hard
Conv VAE,-0.057852603,9.106497,10.917417993519365,0.1086761502598172,0.24704323829124328,0.24312156078039018,Medium
DBSCAN (UMAP),0.53086436,2181.1992,0.9592371931901639,0.021817773210967673,0.10605309082745647,0.1310655327663832,Medium
Hybrid K-Means,0.74785155,2191.2837,0.541006791568821,0.004241227163347036,0.03447364534701411,0.096048024012006,Medium
PCA + K-Means,-0.046340223,8.902366,10.612069914096434,0.11275426298631044,0.2614099363090628,0.25662831415707854,Baseline
Raw K-Means,-0.056526896,9.383119,11.470238929820834,0.13371767279044605,0.28288913429740786,0.27763881940970486,Baseline
Spectral Clustering,-0.05150051,2.1680284,19.270625465338235,0.06433502110601164,0.13164220109647806,0.2096048024012006,Hard
